Genotype,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63,Dim_64,Dim_65,Dim_66,Dim_67,Dim_68,Dim_69,Dim_70,Dim_71,Dim_72,Dim_73,Dim_74,Dim_75,Dim_76,Dim_77,Dim_78,Dim_79
1.0,0.3041161000728607,0.32949814200401306,0.29791972041130066,0.28612416982650757,0.2879990041255951,0.3937380313873291,0.3093705177307129,0.36886030435562134,0.24656765162944794,0.3461630940437317,0.39042928814888,0.31090855598449707,0.28470757603645325,0.3624582886695862,0.2615186870098114,0.38257646560668945,0.27101951837539673,0.21420955657958984,0.2857186496257782,0.3204718828201294,0.2787303924560547,0.31402504444122314,0.3617009222507477,0.26114529371261597,0.3000010550022125,0.3349105417728424,0.29775670170783997,0.30623123049736023,0.26479610800743103,0.3286222517490387,0.3502942621707916,0.28884586691856384,0.27632391452789307,0.3111536204814911,0.25277671217918396,0.2515942454338074,0.33978062868118286,0.33897003531455994,0.27179765701293945,0.28873971104621887,0.3349904716014862,0.35476401448249817,0.3310622572898865,0.3538701832294464,0.34105002880096436,0.26561975479125977,0.3347697854042053,0.2816225588321686,0.2522515058517456,0.26298147439956665,0.3030986189842224,0.2584134340286255,0.3251214325428009,0.35023391246795654,0.2705208659172058,0.33059120178222656,0.3168466091156006,0.28179115056991577,0.28274181485176086,0.2772153317928314,0.20394255220890045,0.14655590057373047,0.40408194065093994,0.1992194950580597,0.24328558146953583,0.24241642653942108,0.2467619925737381,0.4152691066265106,0.27137085795402527,0.27211421728134155,0.28006207942962646,0.21811127662658691,0.22226493060588837,0.3222140967845917,0.3531099557876587,0.37076935172080994,0.3033713102340698,0.2829163074493408,0.29655763506889343,0.3601449728012085
1.0,0.3048715889453888,0.4314306974411011,0.3264288306236267,0.32455918192863464,0.2593171298503876,0.3045482039451599,0.27955344319343567,0.36552003026008606,0.22115111351013184,0.47502991557121277,0.39797350764274597,0.3136579692363739,0.25312888622283936,0.49463364481925964,0.29160362482070923,0.493460088968277,0.26519033312797546,0.1983179748058319,0.28478363156318665,0.39873138070106506,0.22327739000320435,0.283169150352478,0.46222326159477234,0.2944903075695038,0.3355269134044647,0.4613548517227173,0.2250937521457672,0.306622177362442,0.3234902322292328,0.3066868782043457,0.36571359634399414,0.2764793932437897,0.28197240829467773,0.2816395163536072,0.2586413621902466,0.28182074427604675,0.43014848232269287,0.4378252327442169,0.23631127178668976,0.3057299852371216,0.3170456886291504,0.3185221552848816,0.3276728689670563,0.4584187865257263,0.4126512408256531,0.2748708724975586,0.368696928024292,0.2656780779361725,0.27509045600891113,0.2865467667579651,0.3355826139450073,0.2937113344669342,0.2852315306663513,0.4237857460975647,0.2762710750102997,0.2448946237564087,0.34338176250457764,0.2575831413269043,0.3126869797706604,0.33099332451820374,0.2017805427312851,0.14394532144069672,0.35456663370132446,0.27648231387138367,0.22109970450401306,0.2525091767311096,0.19793125987052917,0.33506250381469727,0.19984540343284607,0.3635393977165222,0.2520723044872284,0.22300627827644348,0.2246086746454239,0.25917482376098633,0.4420279264450073,0.24388189613819122,0.24552030861377716,0.37099266052246094,0.17839697003364563,0.37524279952049255
1.0,0.33868056535720825,0.49366047978401184,0.3238597810268402,0.3166220188140869,0.2777407467365265,0.31281957030296326,0.3022989332675934,0.4131692945957184,0.2030327022075653,0.5320576429367065,0.4242868721485138,0.3324670195579529,0.40275225043296814,0.547798216342926,0.34856268763542175,0.541190505027771,0.3422105014324188,0.19860748946666718,0.3981448709964752,0.450091153383255,0.26891541481018066,0.3676634728908539,0.5119804739952087,0.32383790612220764,0.3777604103088379,0.5113985538482666,0.28462129831314087,0.3238731026649475,0.38913440704345703,0.2800861895084381,0.4051418900489807,0.34963348507881165,0.35815495252609253,0.27663737535476685,0.2578907608985901,0.3391202986240387,0.4888363480567932,0.49194464087486267,0.2781917452812195,0.38394442200660706,0.36231207847595215,0.30075588822364807,0.3113558292388916,0.49629291892051697,0.44971320033073425,0.35932835936546326,0.4039578139781952,0.38098058104515076,0.31297820806503296,0.3095298707485199,0.3812258839607239,0.3217500150203705,0.30216890573501587,0.46501076221466064,0.3575825095176697,0.24967807531356812,0.408103346824646,0.3541651964187622,0.3637138307094574,0.3380003571510315,0.2757355272769928,0.1910412460565567,0.3568449914455414,0.25888046622276306,0.3379858136177063,0.3084166646003723,0.3360268771648407,0.40711286664009094,0.2898397445678711,0.3748478889465332,0.2899242341518402,0.28567197918891907,0.2775351405143738,0.3361261487007141,0.4698140323162079,0.2698012888431549,0.2807161509990692,0.30066803097724915,0.31723135709762573,0.4027845561504364
1.0,0.22607576847076416,0.20409956574440002,0.22470331192016602,0.18253077566623688,0.232486292719841,0.41685181856155396,0.2895820736885071,0.35021352767944336,0.26558244228363037,0.19285663962364197,0.37021878361701965,0.23373229801654816,0.21902315318584442,0.2039644420146942,0.1876237541437149,0.2804352939128876,0.21298910677433014,0.20285896956920624,0.2215152233839035,0.25099992752075195,0.27147749066352844,0.28066253662109375,0.26629284024238586,0.1770947277545929,0.2298717051744461,0.23456095159053802,0.30940088629722595,0.23582865297794342,0.21362781524658203,0.3610742390155792,0.3143598735332489,0.18957778811454773,0.1983746737241745,0.309293657541275,0.18913695216178894,0.19057798385620117,0.24048471450805664,0.23064827919006348,0.22626571357250214,0.23929767310619354,0.34316393733024597,0.372210294008255,0.35268571972846985,0.25832363963127136,0.2989358901977539,0.22240662574768066,0.2600858509540558,0.26039400696754456,0.24871814250946045,0.16169127821922302,0.1871926188468933,0.15765023231506348,0.3126892149448395,0.27894824743270874,0.21789447963237762,0.3273741602897644,0.27457424998283386,0.18551401793956757,0.1463499665260315,0.21364355087280273,0.15400248765945435,0.0852285698056221,0.3063185513019562,0.14337211847305298,0.16815854609012604,0.1859581619501114,0.258888840675354,0.3399607837200165,0.1689867228269577,0.204764723777771,0.17853902280330658,0.16755135357379913,0.1564723253250122,0.21900230646133423,0.248388409614563,0.2864798605442047,0.3001351058483124,0.13111132383346558,0.19954414665699005,0.25567370653152466
1.0,0.16944949328899384,0.2419600635766983,0.22060143947601318,0.2164183109998703,0.18064703047275543,0.36556264758110046,0.28339776396751404,0.37358176708221436,0.24176274240016937,0.23907750844955444,0.3760957419872284,0.1939769685268402,0.23987485468387604,0.24303974211215973,0.32587966322898865,0.21763738989830017,0.33352774381637573,0.18289446830749512,0.25898095965385437,0.2535461187362671,0.23933634161949158,0.27053096890449524,0.21549561619758606,0.2633662223815918,0.2794770896434784,0.19151167571544647,0.3293653428554535,0.3385128974914551,0.2545129656791687,0.3065846562385559,0.24183396995067596,0.2609339654445648,0.2540356516838074,0.23247995972633362,0.2356998175382614,0.3217063248157501,0.24165889620780945,0.23901517689228058,0.19712519645690918,0.25709235668182373,0.3894306421279907,0.3188014030456543,0.31835809350013733,0.21178726851940155,0.2543272078037262,0.2841680347919464,0.24921253323554993,0.2229267805814743,0.30394503474235535,0.2691207826137543,0.29071152210235596,0.20667846500873566,0.2963729202747345,0.2740772068500519,0.29104599356651306,0.3082427978515625,0.21953772008419037,0.24694307148456573,0.28372809290885925,0.25203901529312134,0.10326854139566422,0.17615284025669098,0.2600480616092682,0.189204603433609,0.3169366121292114,0.22400005161762238,0.29455992579460144,0.27219465374946594,0.2508173882961273,0.22099560499191284,0.2274104356765747,0.2664821743965149,0.21504101157188416,0.31495922803878784,0.24703355133533478,0.44549497961997986,0.24786238372325897,0.23631975054740906,0.2544419467449188,0.22802667319774628
1.0,0.34166085720062256,0.3321392238140106,0.3399602174758911,0.3514575958251953,0.316750705242157,0.34503474831581116,0.316498339176178,0.47186896204948425,0.22013360261917114,0.354234904050827,0.4615861177444458,0.33169564604759216,0.36870428919792175,0.3583969175815582,0.3433837890625,0.335154265165329,0.34675660729408264,0.25548410415649414,0.3529118299484253,0.28483903408050537,0.3444167375564575,0.3444049656391144,0.3160287141799927,0.3342747092247009,0.3430781066417694,0.35309648513793945,0.36917945742607117,0.37819164991378784,0.2703527510166168,0.3092319369316101,0.33802539110183716,0.33570289611816406,0.3449542224407196,0.3172840476036072,0.26293644309043884,0.32330024242401123,0.3151242136955261,0.3090730309486389,0.29719507694244385,0.3443535566329956,0.43134158849716187,0.33478790521621704,0.3538859784603119,0.2981766164302826,0.3697420060634613,0.3317877948284149,0.3364999294281006,0.33207544684410095,0.27733153104782104,0.32586485147476196,0.2958725094795227,0.32946696877479553,0.3171505033969879,0.293122261762619,0.35224449634552,0.2831960618495941,0.32978174090385437,0.3385120928287506,0.30230921506881714,0.2487238198518753,0.21306458115577698,0.205113485455513,0.33202165365219116,0.2202930748462677,0.3756347894668579,0.25838199257850647,0.357326477766037,0.3620334565639496,0.25879722833633423,0.30868232250213623,0.2979806065559387,0.3127261996269226,0.2705182731151581,0.3114047050476074,0.29417625069618225,0.3271864950656891,0.36756759881973267,0.28673088550567627,0.30932822823524475,0.3151960074901581
2.0,0.26185786724090576,0.28854721784591675,0.2357289344072342,0.24870924651622772,0.2489861696958542,0.2594165802001953,0.2060888558626175,0.5129070281982422,0.1732797771692276,0.35094353556632996,0.43062952160835266,0.24116818606853485,0.38627204298973083,0.3601406216621399,0.262030690908432,0.2464575618505478,0.28248441219329834,0.21492242813110352,0.3515740633010864,0.28498244285583496,0.2617543339729309,0.4089873731136322,0.26536619663238525,0.22684788703918457,0.21982277929782867,0.25199776887893677,0.23807711899280548,0.28898659348487854,0.29826900362968445,0.2349749356508255,0.31415170431137085,0.3104948401451111,0.3250962793827057,0.2535780072212219,0.2512401044368744,0.2503850758075714,0.2405913770198822,0.251362144947052,0.27280911803245544,0.34098079800605774,0.4698379337787628,0.26034486293792725,0.3363761007785797,0.24291564524173737,0.3598819971084595,0.2749307453632355,0.22570450603961945,0.319213330745697,0.23950976133346558,0.24505873024463654,0.32329240441322327,0.3138807415962219,0.3037091791629791,0.2541787624359131,0.26203495264053345,0.2309119552373886,0.3655036985874176,0.40445953607559204,0.34282082319259644,0.24306264519691467,0.19087372720241547,0.16216880083084106,0.2211078256368637,0.2924918830394745,0.45182564854621887,0.27986347675323486,0.22851474583148956,0.32092300057411194,0.2539476752281189,0.25840550661087036,0.2229030430316925,0.2650030255317688,0.27972662448883057,0.26535481214523315,0.2204900085926056,0.3896734416484833,0.24466899037361145,0.21363109350204468,0.22942698001861572,0.23332548141479492
2.0,0.20912609994411469,0.2272522747516632,0.2031390219926834,0.21262140572071075,0.18922699987888336,0.2252090871334076,0.2210742086172104,0.3734723925590515,0.07339228689670563,0.23667436838150024,0.4039633572101593,0.2033829689025879,0.1860051155090332,0.2479894906282425,0.2191261202096939,0.3055872321128845,0.21821245551109314,0.1506364792585373,0.16940155625343323,0.20038150250911713,0.2709444761276245,0.20501171052455902,0.28264644742012024,0.20645618438720703,0.26110363006591797,0.2634855806827545,0.33944737911224365,0.30115076899528503,0.2282196432352066,0.11126722395420074,0.22199547290802002,0.17036177217960358,0.1857810765504837,0.17768584191799164,0.18569378554821014,0.19498339295387268,0.2629774510860443,0.25095462799072266,0.18867740035057068,0.2739763557910919,0.38372358679771423,0.12132786214351654,0.15792728960514069,0.27197906374931335,0.29497581720352173,0.1680091768503189,0.24586625397205353,0.170771062374115,0.14878669381141663,0.19143804907798767,0.19737398624420166,0.21152770519256592,0.2010149359703064,0.2972470819950104,0.19475139677524567,0.11127231270074844,0.20452818274497986,0.1989506632089615,0.20317114889621735,0.1845330446958542,0.19809217751026154,0.12562300264835358,0.2270442396402359,0.32849085330963135,0.1928563416004181,0.30067211389541626,0.36424559354782104,0.14746391773223877,0.35114169120788574,0.40137866139411926,0.16367179155349731,0.20613279938697815,0.25636640191078186,0.23512239754199982,0.27887141704559326,0.2897552251815796,0.3446783423423767,0.3453153669834137,0.15359264612197876,0.34452593326568604
2.0,0.32392990589141846,0.43148165941238403,0.38540443778038025,0.4031102955341339,0.29271966218948364,0.3019990921020508,0.3155428171157837,0.4169553220272064,0.18802988529205322,0.45071616768836975,0.3772198259830475,0.3513476848602295,0.3937988877296448,0.4526282548904419,0.4339650273323059,0.3594859838485718,0.3920406997203827,0.2157852053642273,0.42216190695762634,0.34324175119400024,0.26967287063598633,0.3492387533187866,0.3436388671398163,0.4114902913570404,0.4101002812385559,0.42805173993110657,0.29571226239204407,0.4062454402446747,0.34973129630088806,0.2424508035182953,0.32324492931365967,0.42306405305862427,0.43928882479667664,0.2705029547214508,0.28060126304626465,0.4062652885913849,0.3794914484024048,0.39234495162963867,0.26695552468299866,0.37592607736587524,0.3693919777870178,0.2803157567977905,0.2709006071090698,0.3248782157897949,0.35775893926620483,0.3973665237426758,0.39812320470809937,0.31616654992103577,0.29181572794914246,0.42806312441825867,0.37075841426849365,0.36375153064727783,0.30714964866638184,0.33229002356529236,0.40565529465675354,0.2676708698272705,0.34573668241500854,0.36368319392204285,0.3673926591873169,0.32391098141670227,0.181256964802742,0.28149858117103577,0.2998479902744293,0.3627784848213196,0.3971320688724518,0.3127859830856323,0.30751582980155945,0.4170736074447632,0.30195415019989014,0.3576185703277588,0.3770458698272705,0.30026185512542725,0.24297957122325897,0.37904152274131775,0.3132379651069641,0.3528447449207306,0.3035401999950409,0.448354035615921,0.33905965089797974,0.4053633213043213
2.0,0.3310944437980652,0.33374807238578796,0.2785334289073944,0.27302682399749756,0.28194722533226013,0.28016820549964905,0.23309987783432007,0.4582024812698364,0.1838417649269104,0.3410578966140747,0.4247964918613434,0.31569093465805054,0.38263416290283203,0.3445929288864136,0.3219398260116577,0.3667020797729492,0.31507521867752075,0.1926576793193817,0.40110763907432556,0.3729148805141449,0.2625875771045685,0.4040006399154663,0.357564240694046,0.27013444900512695,0.2893623411655426,0.3840807378292084,0.23653234541416168,0.27702707052230835,0.33349934220314026,0.2541414797306061,0.38339394330978394,0.3389066755771637,0.36271998286247253,0.2781688868999481,0.213541179895401,0.3120177984237671,0.3451630175113678,0.32132962346076965,0.288352370262146,0.3588692545890808,0.40578576922416687,0.27794787287712097,0.29063689708709717,0.34607523679733276,0.40757933259010315,0.34177932143211365,0.29729214310646057,0.372647225856781,0.2671513259410858,0.2768232226371765,0.2647167444229126,0.2545243799686432,0.29506388306617737,0.3054150640964508,0.31792962551116943,0.23238912224769592,0.40700432658195496,0.3017713725566864,0.25101664662361145,0.25386664271354675,0.27094653248786926,0.10977233946323395,0.31843268871307373,0.26196742057800293,0.3195762038230896,0.3184516131877899,0.2633206844329834,0.4230457842350006,0.22882406413555145,0.35532432794570923,0.22393690049648285,0.2596697509288788,0.23920749127864838,0.28867071866989136,0.31175103783607483,0.32886627316474915,0.272765189409256,0.28691864013671875,0.2791619300842285,0.28429219126701355
