,precision,recall,f1-score,support
0,0.6161616161616161,0.9384615384615385,0.7439024390243902,195.0
1,0.6470588235294118,0.16176470588235295,0.25882352941176473,136.0
accuracy,0.6193353474320241,0.6193353474320241,0.6193353474320241,0.6193353474320241
macro avg,0.631610219845514,0.5501131221719457,0.5013629842180775,331.0
weighted avg,0.6288565412432481,0.6193353474320241,0.5445950924766045,331.0
