"Genotype","Average.halting.duration","Estimated.distance.moved","Estimated.duration.halting","Estimated.duration.halting..duration...180.","Estimated.duration.halting..180....duration...1500.","Estimated.duration.halting..duration....1500.","Estimated.duration.moving","Estimated.duration.moving..duration...10.","Estimated.duration.moving..10....duration...50.","Estimated.duration.moving..duration....50.","Estimated.duration.moving..velocity...0.2.","Estimated.duration.moving..0.2....velocity...0.4.","Estimated.duration.moving..velocity....0.4.","Halt.frequency","Halt.frequency..duration...180.","Halt.frequency..180....duration...1500.","Halt.frequency..duration....1500.","Movement.frequency","Movement.frequency..duration...10.","Movement.frequency..10....duration...50.","Movement.frequency..duration....50.","Movement.frequency..velocity...0.2.","Movement.frequency..0.2....velocity...0.4.","Movement.frequency..velocity....0.4.","Ratio.halting.to.detection.duration","Ratio.movement.to.detection.duration","Ratio.movement.to.halting.duration"
"118",89.04,710.3,2582.4,897.87,1684.53,0,2517.8,35.4,318.22,2164.17,711.06,1806.74,0,29,27,2,0,29,8,14,7,26,3,0,0.51,0.49,0.97
"118",112.54,216.85,3601.48,710.86,2890.63,0,1498.72,51.2,268.82,1178.69,1369.91,128.81,0,32,28,4,0,31,9,10,12,27,4,0,0.71,0.29,0.42
"118",120.26,75.64,4329.74,721.46,3608.28,0,770.46,83.81,487.04,199.62,770.46,0,0,36,30,6,0,35,14,19,2,35,0,0,0.85,0.15,0.18
"170",346.41,24.24,4850.18,449.84,1853.75,2546.6,250.02,23.4,226.62,0,250.02,0,0,14,11,2,1,13,6,7,0,13,0,0,0.95,0.05,0.05
"170",68.64,807.4,2265.18,641.45,1623.73,0,2640.41,24,327.23,2289.18,977.88,712.26,950.27,33,29,4,0,32,3,13,16,20,9,3,0.44,0.52,1.17
"170",447.82,15.65,4926.39,444.23,381.43,4100.72,173.81,19.4,154.41,0,173.81,0,0,11,8,2,1,10,3,7,0,10,0,0,0.97,0.03,0.04
"170",1647.47,22.6,4942.79,39.4,0,4903.38,157.01,4.6,32.4,120.01,157.01,0,0,3,2,0,1,3,1,1,1,3,0,0,0.97,0.03,0.03
"170",192.9,27.94,4822.78,579.85,2426.59,1816.34,277.42,57,220.42,0,277.42,0,0,25,20,4,1,24,13,11,0,24,0,0,0.95,0.05,0.06
"170",420.71,17.89,4633.25,301.75,796.14,3535.36,189.62,19.02,86.7,83.9,189.62,0,0,11.01,9.01,1,1,7.01,3,3,1,7.01,0,0,0.91,0.04,0.04
"175",26.6,576.36,2259.03,1914.88,344.15,0,2841.17,110.4,785.16,1945.61,1638.87,1051.26,151.05,84.93,83.91,1.01,0,83.91,26.29,34.37,23.25,60.66,20.22,3.03,0.44,0.56,1.26
"175",276.61,38.31,4702.77,549.84,1044.08,3108.84,397.43,25.8,242.42,129.21,397.43,0,0,17,13,3,1,17,6,9,2,17,0,0,0.92,0.08,0.08
"175",613.5,19.71,4908.38,323.83,932.67,3651.89,191.42,16.2,0,175.21,191.42,0,0,8,4,2,2,7,5,0,2,7,0,0,0.96,0.04,0.04
"175",125.46,103.78,4140.52,828.26,1547.12,1765.14,959.28,32.2,555.24,371.83,959.28,0,0,33,30,2,1,33,8,20,5,33,0,0,0.81,0.19,0.23
"175",79.59,202.16,3502.07,754.46,2747.62,0,1560.12,56.6,546.04,957.48,1560.12,0,0,44,40,4,0,43,8,24,11,43,0,0,0.69,0.31,0.45
"175",324.67,16.54,4870.38,594.25,2081.36,2194.77,229.82,41.4,126.41,62,229.82,0,0,15,11,3,1,14,7,6,1,14,0,0,0.95,0.05,0.05
"137",132.71,154.36,3981.71,876.27,3105.44,0,1118.49,51.4,360.03,707.06,1118.49,0,0,30,24,6,0,29,9,12,8,29,0,0,0.78,0.22,0.28
"137",162.43,36.17,4710.77,1123.49,3587.28,0,389.03,86.01,248.02,55,389.03,0,0,29,21,8,0,28,16,11,1,28,0,0,0.92,0.08,0.08
"137",84.67,183.21,3810.5,992.88,422.43,2395.19,1289.7,88.21,467.64,733.86,1027.28,262.42,0,45,43,1,1,45,18,18,9,40,5,0,0.75,0.25,0.34
"137",222.89,56.4,4680.97,610.85,4070.12,0,419.23,32,142.21,245.02,356.63,62.6,0,21,13,8,0,20,10,6,4,19,1,0,0.92,0.08,0.09
"137",314.65,43.94,4720.17,478.64,0,4241.53,380.03,40.6,141.21,198.22,380.03,0,0,15,13,0,2,14,7,4,3,14,0,0,0.93,0.07,0.08
"137",115.61,77.85,4277.94,892.27,3385.67,0,822.26,62.2,538.84,221.22,822.26,0,0,37,31,6,0,36,13,20,3,36,0,0,0.84,0.16,0.19
"68",91.53,209.5,3478.47,1022.28,681.05,1775.14,1621.73,34.4,537.84,1049.48,1550.32,71.41,0,38,36,1,1,38,7,19,12,37,1,0,0.68,0.32,0.47
"68",74.66,876.52,2090.76,603.25,1487.52,0,3009.44,17,290.62,2701.81,781.06,1749.54,478.84,28,27,1,0,29,3,12,14,17,10,2,0.41,0.59,1.44
"68",113.02,242.91,3617.08,820.66,826.06,1970.35,1482.72,59.6,326.63,1096.49,1353.31,129.41,0,32,29,2,1,32,11,12,9,31,1,0,0.71,0.29,0.41
"68",488.94,12.86,4889.78,455.84,1815.14,2618.81,161.01,6.2,154.81,0,161.01,0,0,10,7,2,1,8,1,7,0,8,0,0,0.96,0.03,0.03
"68",21.67,937.58,1430.11,1430.11,0,0,3662.69,68.21,585.85,3008.64,1643.73,1199.09,819.86,66.01,66.01,0,0,64.01,14,20,30,35,22,7,0.28,0.72,2.56
"68",209.46,328.14,3561.5,415.08,3146.42,0,1538.7,14.8,115.62,1408.28,181.04,1357.67,0,17,12,5,0,16,5,6,5,12,4,0,0.7,0.3,0.43
"273",82.79,81.56,4222.73,1234.9,1443.51,1544.32,877.47,108.01,598.65,170.81,877.47,0,0,51,47,3,1,50,20,27,3,50,0,0,0.83,0.17,0.21
"273",235.78,46.9,4715.97,471.04,2134.97,2109.97,384.23,56,192.42,135.81,384.23,0,0,20,15,4,1,19,11,6,2,19,0,0,0.92,0.08,0.08
"273",251.13,66.16,4520.75,406.63,4114.12,0,579.45,17,236.42,326.03,579.45,0,0,18,13,5,0,17,4,9,4,17,0,0,0.89,0.11,0.13
"273",49.42,367.14,2866.42,1093.89,1772.54,0,2233.38,61,926.87,1245.5,1734.54,498.84,0,58,54,4,0,57,11,34,12,53,4,0,0.56,0.44,0.78
"273",235.44,68.89,4709.17,303.22,315.82,4090.12,390.63,25.8,307.02,57.8,194.82,195.82,0,20,17,1,2,20,5,14,1,13,7,0,0.92,0.08,0.08
"273",88.61,147.23,3810.7,1385.91,2424.79,0,1281.3,49,528.04,704.26,1114.69,166.61,0,43,38,5,0,41,13,20,8,39,2,0,0.75,0.25,0.34
"165",37.15,236.86,3121.24,1890.55,1230.7,0,1905.15,142.21,781.06,981.88,1792.14,113.01,0,84.01,81.01,3,0,82.01,29,39,14,78.01,4,0,0.61,0.37,0.61
"165",132.69,171.87,3980.91,543.84,3437.07,0,1109.89,25.8,412.63,671.45,996.68,113.21,0,30,26,4,0,28,4,15,9,25,3,0,0.78,0.22,0.28
"165",250.72,77.71,4513.35,412.23,4101.12,0,586.85,34.2,101.01,451.64,448.24,138.61,0,18,12,6,0,18,7,6,5,17,1,0,0.88,0.12,0.13
"165",526.04,51.71,4740.16,149.78,1010.03,3580.35,360.04,19.42,18.02,322.59,359.44,0,0.6,9.01,6.01,2,1,9.01,4,1,4,8.01,0,1,0.93,0.07,0.08
"165",25.38,811.86,1472.32,1472.32,0,0,3627.88,46.2,793.86,2787.82,1976.15,1651.73,0,58,58,0,0,57,10,25,22,43,14,0,0.29,0.71,2.46
"165",180.73,56.52,4518.55,989.88,3528.68,0,581.25,28.6,344.63,208.02,581.25,0,0,25,20,5,0,24,7,15,2,24,0,0,0.89,0.11,0.13
"272",80.12,274.81,3365.46,830.47,914.27,1620.73,1602.13,66.81,279.42,1255.9,1268.3,333.83,0,42,39,2,1,38,13,12,13,34,4,0,0.66,0.31,0.48
"272",286.27,18.73,4866.98,475.24,2546.4,1845.34,233.22,53,113.01,67.21,233.22,0,0,17,14,2,1,16,10,5,1,16,0,0,0.95,0.05,0.05
"272",103.27,69.04,4337.74,1367.91,2969.83,0,762.46,70.01,552.24,140.21,762.46,0,0,42,36,6,0,41,12,27,2,41,0,0,0.85,0.15,0.18
"272",31.57,268.49,3220.65,2147.37,1073.28,0,1879.55,293.02,775.26,811.26,1542.12,337.43,0,102.01,98.01,4,0,103.01,63,32,8,101.01,2,0,0.63,0.37,0.58
"272",238.79,38.4,4776.17,654.45,1223.3,2898.43,324.03,36.2,226.02,61.8,308.82,15.2,0,20,17,2,1,20,8,11,1,19,1,0,0.94,0.06,0.07
"272",196.57,131.89,4128.32,316.22,1998.16,1813.94,971.88,28,254.22,689.65,866.47,105.41,0,21,16,4,1,20,5,9,6,19,1,0,0.81,0.19,0.24
"337",230.92,47.68,4618.76,191.01,4427.75,0,476.24,42,230.42,203.82,476.24,0,0,20,14,6,0,19,9,8,2,19,0,0,0.91,0.09,0.1
"337",195.35,115.98,4297.94,402.63,426.63,3468.67,801.86,28.6,226.82,546.44,745.66,56.2,0,22,20,1,1,21,4,10,7,20,1,0,0.84,0.16,0.19
"337",320.24,25.64,4818.53,216.47,1216.57,3385.49,281.27,27.28,253.99,0,281.27,0,0,15.05,12.04,2.01,1,15.05,6.02,9.03,0,15.05,0,0,0.94,0.06,0.06
"337",135.58,204.39,3660.89,430.23,1665.73,1564.92,1438.91,24.2,304.82,1109.89,1400.11,38.8,0,27,24,2,1,26,5,11,10,24,2,0,0.72,0.28,0.39
"337",68.34,115.71,3963.91,1307.7,2656.21,0,1136.29,109.01,836.87,190.41,1136.29,0,0,58,54,4,0,58,22,33,3,58,0,0,0.78,0.22,0.29
"337",485.58,24.96,4856.18,230.82,683.25,3942.11,244.02,17.2,70.21,156.61,244.02,0,0,10,7,1,2,9,4,3,2,9,0,0,0.95,0.05,0.05
"337",360.54,51.09,4687.37,438.63,1478.52,2770.22,412.83,13.8,105.61,293.42,412.83,0,0,13,9,3,1,12,3,5,4,12,0,0,0.92,0.08,0.09
"70",144.64,162.65,4194.93,649.45,1925.15,1620.33,905.27,38.4,488.64,378.23,536.24,369.03,0,29,25,3,1,29,6,19,4,24,5,0,0.82,0.18,0.22
"70",354.03,11.14,4956.79,569.04,1270.1,3117.64,143.41,55.8,32.2,55.4,143.41,0,0,14,11,2,1,13,10,2,1,13,0,0,0.97,0.03,0.03
"70",106.56,102.6,4065.82,557.25,3508.57,0,1034.38,100.2,466.48,467.69,1034.38,0,0,38.15,31.13,7.03,0,39.16,16.06,16.06,7.03,39.16,0,0,0.8,0.2,0.25
"70",130.81,75.7,4447.95,1121.49,677.45,2649.01,652.25,61.6,527.24,63.4,626.85,25.4,0,34,31,2,1,33,11,21,1,32,1,0,0.87,0.13,0.15
"70",136.29,136.91,4088.92,999.48,3089.44,0,1011.28,32.4,312.42,666.45,998.48,12.8,0,30,26,4,0,30,7,14,9,29,1,0,0.8,0.2,0.25
"70",435.45,38.11,4790.38,383.63,514.84,3891.91,309.82,0,240.42,69.41,309.82,0,0,11,9,1,1,10,0,9,1,10,0,0,0.94,0.06,0.06
"23",993.28,10.43,4969.71,174.32,0,4795.4,130.49,0,130.49,0,130.49,0,0,5,4,0,1,5,0,5,0,5,0,0,0.97,0.03,0.03
"23",274.2,39.57,4661.77,415.63,2106.77,2139.37,438.43,19.6,233.42,185.41,438.43,0,0,17,14,2,1,16,4,9,3,16,0,0,0.91,0.09,0.09
"23",495.54,14.85,4955.79,417.83,1331.3,3206.65,144.41,34,59,51.4,144.41,0,0,10,7,2,1,9,6,2,1,9,0,0,0.97,0.03,0.03
"23",151.47,189.14,3938.51,728.26,1222.1,1988.16,1161.69,40.2,405.43,716.06,992.28,169.41,0,26,23,2,1,26,7,13,6,25,1,0,0.77,0.23,0.29
"23",183.94,46,4598.96,916.27,3682.69,0,501.24,57.8,141.61,301.82,501.24,0,0,25,20,5,0,24,13,7,4,24,0,0,0.9,0.1,0.11
"23",349.26,65.5,4540.76,250.82,2483.79,1806.14,558.84,14.4,166.61,377.83,558.84,0,0,13,9,3,1,12,3,5,4,12,0,0,0.89,0.11,0.12
"223",313.58,167.72,4076.92,477.84,3599.08,0,1023.28,29.2,42.8,951.27,1023.28,0,0,13,9,4,0,13,5,2,6,13,0,0,0.8,0.2,0.25
"223",77.4,117.66,3947.71,1566.72,2380.99,0,1152.49,99.21,756.86,296.42,1152.49,0,0,51,47,4,0,50,18,27,5,50,0,0,0.77,0.23,0.29
"223",24.35,536.93,2264.98,1782.74,482.24,0,2834.82,122.81,1280.9,1431.11,1420.31,1414.51,0,93.01,91.01,2,0,93.01,25,51,17,70.01,23,0,0.44,0.56,1.25
"223",59.23,626,2724.81,1009.08,1715.73,0,2375.39,47.8,505.84,1821.74,892.07,1483.32,0,46,43,3,0,45,11,19,15,28,17,0,0.53,0.47,0.87
"223",172.09,53.08,4474.75,737.66,3737.09,0,625.05,38.4,288.62,298.02,625.05,0,0,26,21,5,0,25,9,12,4,25,0,0,0.88,0.12,0.14
"223",263.98,59.13,4574.42,304.38,532.71,3737.33,525.78,20.18,267.27,238.32,525.78,0,0,17.33,14.27,2.04,1.02,17.33,4.08,10.19,3.06,17.33,0,0,0.9,0.1,0.11
"87",46.89,202.37,3423.47,1704.93,1718.53,0,1676.73,146.01,855.67,675.05,1594.33,82.41,0,73.01,71.01,2,0,72.01,28,36,8,70.01,2,0,0.67,0.33,0.49
"87",1686.33,4.56,5059.4,151.61,0,4907.78,40.8,0,40.8,0,40.8,0,0,3,2,0,1,2,0,2,0,2,0,0,0.99,0.01,0.01
"87",351.77,11.8,4925.19,516.04,2067.56,2341.58,174.81,45,129.81,0,174.81,0,0,14,11,2,1,13,6,7,0,13,0,0,0.97,0.03,0.04
"87",168.68,96.09,4385.94,516.44,1700.33,2169.17,714.26,59.4,183.81,471.04,692.45,21.8,0,26,21,4,1,26,11,8,7,25,1,0,0.86,0.14,0.16
"87",30.03,441.8,2672.81,2422.59,250.22,0,2395.39,118.21,1453.51,823.66,1449.51,913.27,32.6,89.01,88.01,1,0,88.01,19,57,12,61,26,1,0.52,0.47,0.9
"87",241.13,18.99,4829.42,563.6,1529.16,2736.66,227.32,42.06,185.26,0,227.32,0,0,20.03,16.02,3,1,19.03,9.01,10.01,0,19.03,0,0,0.95,0.04,0.05
"225",128.47,99.76,4111.32,695.05,3416.27,0,988.88,43.6,548.44,396.83,988.88,0,0,32,29,3,0,31,6,21,4,31,0,0,0.81,0.19,0.24
"225",5099.8,0,5100.2,0,0,5100.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"225",1011.72,4.89,5059,122.61,575.65,4360.74,41.2,12.8,28.4,0,28.2,13,0,5,3,1,1,4,2,2,0,3,1,0,0.99,0.01,0.01
"225",243.71,92.39,4387.14,851.67,1031.88,2503.6,713.06,26,117.01,570.04,713.06,0,0,18,13,4,1,18,5,5,8,18,0,0,0.86,0.14,0.16
"225",303.19,72.92,4548.16,360.63,445.43,3742.09,552.04,31.2,125.61,395.23,552.04,0,0,15,12,1,2,14,5,6,3,14,0,0,0.89,0.11,0.12
"225",477.14,30.62,4771.77,347.63,2533.2,1890.95,328.43,15.6,117.81,195.02,328.43,0,0,10,6,3,1,9,2,4,3,9,0,0,0.94,0.06,0.07
"168",810.77,30.06,4864.98,56.6,411.63,4396.74,211.02,7.4,28.6,175.01,211.02,0,0,6,3,2,1,4,1,1,2,4,0,0,0.95,0.04,0.04
"168",103.57,119.47,4039.72,1416.51,383.83,2239.38,1060.48,40.4,615.65,404.43,1019.08,41.4,0,39,37,1,1,38,11,21,6,37,1,0,0.79,0.21,0.26
"168",5099.8,0,5100.2,0,0,5100.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"168",68.65,116.96,3844.9,1623.73,2221.17,0,1255.3,133.61,562.44,559.24,1255.3,0,0,56,52,4,0,55,25,24,6,55,0,0,0.75,0.25,0.33
"168",302.28,74.39,4534.56,270.02,4264.53,0,565.64,34.8,65.41,465.44,515.04,50.6,0,15,9,6,0,15,7,3,5,14,1,0,0.89,0.11,0.12
"168",826.67,9.42,4960.39,201.22,312.62,4446.55,139.81,10.4,31.2,98.21,139.81,0,0,6,4,1,1,5,2,2,1,5,0,0,0.97,0.03,0.03
"339",444.15,21.13,4885.98,274.02,2124.37,2487.6,197.82,36.4,161.41,0,197.82,0,0,11,8,2,1,10,5,5,0,10,0,0,0.96,0.04,0.04
"339",545.49,15.61,4909.79,290.62,422.03,4197.13,190.41,17.2,110.61,62.6,190.41,0,0,9,6,2,1,8,3,4,1,8,0,0,0.96,0.04,0.04
"339",64.05,157.6,3843.5,1399.31,2444.19,0,1256.3,148.41,632.45,475.44,1139.29,117.01,0,60,57,3,0,59,27,26,6,56,3,0,0.75,0.25,0.33
"339",164.9,236.13,3793.1,476.84,1426.31,1889.95,1306.7,28.4,306.82,971.48,842.07,464.64,0,23,21,1,1,24,5,10,9,18,6,0,0.74,0.26,0.34
"339",227.83,136.63,4101.32,413.83,3687.49,0,998.88,10.8,186.61,801.46,998.88,0,0,18,13,5,0,17,2,6,9,17,0,0,0.8,0.2,0.24
"339",217.81,31.68,4792.18,512.84,1813.54,2465.79,308.02,36.4,204.62,67.01,308.02,0,0,22,18,3,1,21,10,10,1,21,0,0,0.94,0.06,0.06
"75",123.89,230.5,3717.09,615.25,3101.84,0,1383.11,3,422.03,958.08,1016.88,366.23,0,30,25,5,0,30,1,18,11,26,4,0,0.73,0.27,0.37
"75",102.27,100.72,4091.12,1152.49,2938.63,0,1009.08,62.4,481.44,465.24,1009.08,0,0,40,36,4,0,39,15,18,6,39,0,0,0.8,0.2,0.25
"75",554.76,7.48,4993.19,155.01,2050.56,2787.62,107.01,19.8,87.21,0,107.01,0,0,9,6,2,1,8,5,3,0,8,0,0,0.98,0.02,0.02
"75",281.02,30.54,4777.77,686.65,1355.11,2736.01,322.03,34.2,176.61,111.21,322.03,0,0,17,13,3,1,16,7,7,2,16,0,0,0.94,0.06,0.07
"75",197.78,49.27,4549.71,731.71,2197.14,1620.85,550.49,21.8,452.47,76.21,550.49,0,0,23,19,3,1,22,5,16,1,22,0,0,0.89,0.11,0.12
"75",557.27,5.56,5015.79,152.81,0,4862.98,84.41,36,48.4,0,84.41,0,0,9,8,0,1,8,5,3,0,8,0,0,0.98,0.02,0.02
"86",273.04,50.63,4658.22,245.88,2372.67,2039.68,441.98,17.26,370.72,53.99,441.98,0,0,17.06,14.05,2.01,1,18.06,3.01,14.05,1,18.06,0,0,0.91,0.09,0.09
"86",174.16,90.41,4354.34,1127.89,3226.45,0,745.86,42.6,230.02,473.24,745.86,0,0,25,21,4,0,24,8,10,6,24,0,0,0.85,0.15,0.17
"86",348.73,18.77,4882.58,279.02,1710.93,2892.63,217.42,39,111.21,67.21,217.42,0,0,14,10,3,1,14,7,6,1,14,0,0,0.96,0.04,0.04
"86",85.45,65.62,4358.34,1743.54,2614.81,0,741.46,109.21,632.25,0,741.46,0,0,51,46,5,0,50,23,27,0,50,0,0,0.85,0.15,0.17
"86",260.76,51.72,4693.97,163.41,2573.2,1957.35,349.63,41.4,181.41,126.81,222.82,126.81,0,18,13,4,1,17,9,7,1,16,1,0,0.92,0.07,0.07
"86",818.1,18.61,4908.99,12.2,1281.3,3615.48,191.21,15.4,109.21,66.61,191.21,0,0,6,3,1,2,6,2,3,1,6,0,0,0.96,0.04,0.04
"226",74.48,75.19,4245.53,1588.52,2657.01,0,854.67,153.41,412.23,289.02,854.67,0,0,57,52,5,0,56,33,19,4,56,0,0,0.83,0.17,0.2
"226",139.8,114,4194.33,1027.68,3166.65,0,905.87,55.4,273.42,577.05,905.87,0,0,30,25,5,0,29,12,10,7,29,0,0,0.82,0.18,0.22
"226",60.84,393.62,3042.24,879.07,0,2163.17,2057.96,98.21,554.44,1405.31,924.27,1133.69,0,50,49,0,1,50,19,22,9,43,7,0,0.6,0.4,0.68
"226",386.2,75.94,4634.76,396.43,2411.19,1827.14,465.04,14.2,184.81,266.02,342.83,122.21,0,12,8,3,1,12,3,6,3,11,1,0,0.91,0.09,0.1
"226",45.05,227.76,3292.14,1494.1,1798.04,0,1808.06,84.7,1159.72,563.64,1743.38,64.67,0,73.08,70.08,3,0,72.08,18.02,45.05,9.01,70.08,2,0,0.65,0.35,0.55
"226",140.22,39.34,4627.56,608.85,2405.39,1613.33,472.24,110.01,117.81,244.42,472.24,0,0,33,28,4,1,32,23,6,3,32,0,0,0.91,0.09,0.1
"205",195.56,105.09,4302.74,286.62,4016.11,0,797.46,22.4,236.02,539.04,797.46,0,0,22,17,5,0,21,7,8,6,21,0,0,0.84,0.16,0.19
"205",547.24,14.78,4925.59,436.83,0,4488.75,174.21,8.2,166.01,0,174.21,0,0,9,8,0,1,8,1,7,0,8,0,0,0.97,0.03,0.04
"205",56.73,301.9,3063.84,1459.31,1604.53,0,2036.36,88.81,463.64,1483.92,1848.34,188.01,0,54,52,2,0,54,16,22,16,50,4,0,0.6,0.4,0.66
"205",178.04,179.66,3917.11,354.63,3562.48,0,1182.69,31,137.41,1014.28,1165.29,17.4,0,22,17,5,0,21,5,7,9,20,1,0,0.77,0.23,0.3
"205",152.68,248.43,3817.3,443.03,1841.94,1532.32,1282.5,47.4,144.01,1091.09,902.27,380.23,0,25,20,4,1,26,9,7,10,22,4,0,0.75,0.25,0.34
"205",836.77,8.16,5020.99,136.41,1204.89,3679.69,79.21,7.4,71.81,0,79.21,0,0,6,3,2,1,5,2,3,0,5,0,0,0.98,0.02,0.02
"358",107.12,150.76,3856.5,1164.09,2692.41,0,1243.7,67.41,394.43,781.86,1143.69,100.01,0,36,32,4,0,36,14,14,8,35,1,0,0.76,0.24,0.32
"358",1264.9,3.3,5060,103.41,197.82,4758.77,40.2,3.4,36.8,0,40.2,0,0,4,1,1,2,3,1,2,0,3,0,0,0.99,0.01,0.01
"358",90.28,218.81,3611.68,896.87,2714.81,0,1476.12,44.6,512.04,919.47,1352.91,123.21,0,40,36,4,0,39,8,19,12,36,3,0,0.71,0.29,0.41
"358",40.11,383.33,2888.23,1561.52,1326.7,0,2211.57,110.41,626.65,1474.52,1262.7,948.87,0,72.01,68.01,4,0,71.01,23,30,18,59,12,0,0.57,0.43,0.77
"358",94.95,134.68,4083.12,1644.33,701.26,1737.54,1016.68,84.41,490.24,442.03,989.28,27.4,0,43,41,1,1,43,16,21,6,41,2,0,0.8,0.2,0.25
"358",358.42,48.9,4659.77,581.45,481.24,3597.08,440.03,24,71.81,344.23,440.03,0,0,13,11,1,1,12,5,3,4,12,0,0,0.91,0.09,0.09
"167",106.2,77.08,4354.54,838.67,1790.34,1725.54,745.66,78.41,369.83,297.42,745.66,0,0,41,37,3,1,40,19,16,5,40,0,0,0.85,0.15,0.17
"167",161.7,114.85,4042.72,562.64,1341.11,2138.97,1057.48,24,251.02,782.46,1057.48,0,0,25,23,1,1,25,6,12,7,25,0,0,0.79,0.21,0.26
"167",125.86,123.11,3902.11,647.25,3254.86,0,1099.89,31.4,378.03,690.45,1099.89,0,0,31,26,5,0,30,6,15,9,30,0,0,0.77,0.22,0.28
"167",88.58,324.97,3366.46,1060.68,2305.78,0,1733.74,30.6,322.03,1381.11,1293.3,363.43,77.01,38,35,3,0,37,8,14,15,32,4,1,0.66,0.34,0.52
"167",69.66,175.84,3699.63,1007.93,2691.7,0,1400.57,105.22,653.18,642.16,1305.97,94.6,0,53.11,48.1,5.01,0,50.11,16.03,25.05,9.02,48.1,2,0,0.73,0.27,0.38
"167",150.61,181.29,3850.98,843.59,318.08,2689.3,1249.22,26.39,271.04,951.8,1013.17,236.06,0,25.57,23.52,1.02,1.02,27.62,5.11,13.3,9.21,22.5,5.11,0,0.76,0.24,0.32
"111",197.06,31.29,4729.77,496.64,2031.96,2201.17,370.43,57.4,204.82,108.21,370.43,0,0,24,20,3,1,23,13,9,1,23,0,0,0.93,0.07,0.08
"111",5099.8,0,5100.2,0,0,5100.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"111",416.45,7.77,4997.79,124.21,3194.45,1679.13,102.41,17.4,85.01,0,102.41,0,0,12,8,3,1,11,6,5,0,11,0,0,0.98,0.02,0.02
"111",288.25,22.51,4900.58,208.82,3156.65,1535.12,199.62,34.6,87.41,77.61,199.62,0,0,17,12,4,1,16,9,6,1,16,0,0,0.96,0.04,0.04
"111",105.95,161.12,3920.31,881.07,3039.24,0,1179.89,47.2,396.83,735.86,963.48,216.42,0,37,32,5,0,36,11,16,9,32,4,0,0.77,0.23,0.3
"111",247.24,174.74,4203.33,721.86,1921.75,1559.72,896.87,19,222.02,655.85,467.84,429.03,0,17,14,2,1,17,3,8,6,14,3,0,0.82,0.18,0.21
"297",82.79,93.23,4139.72,1002.48,1032.68,2104.57,960.48,77.81,592.65,290.02,960.48,0,0,50,45,4,1,49,20,25,4,49,0,0,0.81,0.19,0.23
"297",120.98,169.29,3871.7,1001.28,876.67,1993.76,1228.5,53.6,350.03,824.86,1163.29,65.21,0,32,28,3,1,31,9,12,10,30,1,0,0.76,0.24,0.32
"297",146.01,86.49,4234.53,698.85,3535.68,0,865.67,43.2,153.21,669.25,865.67,0,0,29,22,7,0,28,13,8,7,28,0,0,0.83,0.17,0.2
"297",131.64,133.87,3949.51,787.46,3162.05,0,1150.29,55.2,306.62,788.46,1150.29,0,0,30,27,3,0,29,9,12,8,29,0,0,0.77,0.23,0.29
"297",350.34,17.07,4905.18,239.02,1595.93,3070.24,195.02,34,98.01,63,195.02,0,0,14,9,4,1,13,8,4,1,13,0,0,0.96,0.04,0.04
"297",996.68,11.11,4983.79,132.21,329.83,4521.75,116.41,12,41,63.4,116.41,0,0,5,3,1,1,4,2,1,1,4,0,0,0.98,0.02,0.02
"249",475.54,39.31,4755.77,263.82,0,4491.95,344.43,9.2,136.01,199.22,344.43,0,0,10,8,0,2,10,2,6,2,10,0,0,0.93,0.07,0.07
"249",5099.8,0,5100.2,0,0,5100.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"249",691.31,26.91,4839.58,104.21,304.22,4431.15,260.22,11.6,69.81,178.81,260.22,0,0,7,5,1,1,6,2,2,2,6,0,0,0.95,0.05,0.05
"249",557.58,5.23,5018.59,217.02,273.22,4528.36,81.61,19.4,62.2,0,81.61,0,0,9,6,1,2,8,5,3,0,8,0,0,0.98,0.02,0.02
"249",695.97,30.81,4872.18,455.44,0,4416.75,228.02,7.4,41.4,179.21,228.02,0,0,7,6,0,1,7,1,3,3,7,0,0,0.96,0.04,0.05
"249",151.16,91.06,4232.73,728.66,1584.72,1919.35,867.47,35,310.02,522.44,867.47,0,0,28,22,5,1,28,8,14,6,28,0,0,0.83,0.17,0.2
"142",302.14,23.88,4834.58,230.42,4604.16,0,265.62,35.2,101.41,129.01,265.62,0,0,16,11,5,0,15,8,5,2,15,0,0,0.95,0.05,0.05
"142",219.31,48.94,4605.96,411.43,2133.37,2061.16,493.84,59.6,151.81,282.42,493.84,0,0,21,16,4,1,20,12,4,4,20,0,0,0.9,0.1,0.11
"142",173.08,122.29,4154.33,705.26,1876.75,1572.32,945.87,20.4,233.02,692.45,945.87,0,0,24,21,2,1,23,5,10,8,23,0,0,0.81,0.19,0.23
"142",26.1,1018.71,1567.11,1322.13,244.97,0,3533.09,19.81,832.39,2680.89,544.38,2860.42,128.29,60.04,59.04,1,0,62.04,4,33.02,25.02,24.02,36.03,2,0.31,0.69,2.25
"142",60.13,340.3,2826.22,943.87,1882.35,0,2242.18,24.4,621.05,1596.73,1758.94,483.24,0,47,42,5,0,45,6,24,15,41,4,0,0.55,0.44,0.79
