"Genotype","Average.halting.duration","Estimated.distance.moved","Estimated.duration.halting","Estimated.duration.halting..duration...180.","Estimated.duration.halting..180....duration...1500.","Estimated.duration.halting..duration....1500.","Estimated.duration.moving","Estimated.duration.moving..duration...10.","Estimated.duration.moving..10....duration...50.","Estimated.duration.moving..duration....50.","Estimated.duration.moving..velocity...0.2.","Estimated.duration.moving..0.2....velocity...0.4.","Estimated.duration.moving..velocity....0.4.","Halt.frequency","Halt.frequency..duration...180.","Halt.frequency..180....duration...1500.","Halt.frequency..duration....1500.","Movement.frequency","Movement.frequency..duration...10.","Movement.frequency..10....duration...50.","Movement.frequency..duration....50.","Movement.frequency..velocity...0.2.","Movement.frequency..0.2....velocity...0.4.","Movement.frequency..velocity....0.4.","Ratio.halting.to.detection.duration","Ratio.movement.to.detection.duration","Ratio.movement.to.halting.duration"
"65",1003.08,11.81,5015.79,176.61,0,4839.18,84.41,17.8,0,66.61,84.41,0,0,5,3,0,2,5,4,0,1,5,0,0,0.98,0.02,0.02
"65",222.71,72.74,4454.9,732.31,1572.45,2150.14,644.7,36.61,144.82,463.27,640.3,4.4,0,20,15,4,1,20,8,6,6,19,1,0,0.87,0.13,0.14
"53",29.05,809.54,1743.34,1555.12,188.21,0,3356.86,67.41,522.44,2767.02,1493.72,1406.91,456.24,60,59,1,0,60,17,20,23,42,15,3,0.34,0.66,1.93
"53",610.17,25.75,4881.78,376.63,1379.71,3125.45,218.42,3.4,164.61,50.4,218.42,0,0,8,5,2,1,7,1,5,1,7,0,0,0.96,0.04,0.04
"53",102.55,139.83,3999.71,1144.09,814.26,2041.36,1100.49,82.41,334.83,683.25,1100.49,0,0,39,36,2,1,39,16,15,8,39,0,0,0.78,0.22,0.28
"53",231.52,59.94,4630.76,725.46,3905.31,0,469.44,35.6,270.62,163.21,444.03,25.4,0,20,15,5,0,20,8,10,2,19,1,0,0.91,0.09,0.1
"53",126.29,123.15,3915.31,1130.69,1283.9,1500.72,1184.89,39.8,389.43,755.66,1184.89,0,0,31,28,2,1,30,8,15,7,30,0,0,0.77,0.23,0.3
"53",93.8,180.1,3846.1,1125.49,1061.88,1658.73,1254.1,54,574.85,625.25,1190.49,63.6,0,41,38,2,1,40,9,25,6,38,2,0,0.75,0.25,0.33
"335",233.63,14.4,4906.58,785.66,2383.39,1737.54,193.62,60.8,132.81,0,193.62,0,0,21,17,3,1,20,13,7,0,20,0,0,0.96,0.04,0.04
"335",696.74,21.05,4877.58,117.41,1703.53,3056.64,222.62,5.4,118.21,99.01,222.62,0,0,7,4,2,1,6,1,4,1,6,0,0,0.96,0.04,0.05
"335",490.02,18.61,4900.58,147.01,1384.91,3368.66,199.62,22.2,113.41,64.01,199.62,0,0,10,5,4,1,9,4,4,1,9,0,0,0.96,0.04,0.04
"335",125.01,262.51,3500.47,868.67,261.82,2369.99,1599.73,5.6,341.03,1253.1,976.28,623.45,0,28,26,1,1,27,2,14,11,21,6,0,0.69,0.31,0.46
"335",346.61,25.07,4852.98,629.85,436.63,3786.5,247.22,21.4,225.82,0,247.22,0,0,14,12,1,1,14,5,9,0,14,0,0,0.95,0.05,0.05
"335",964.64,43.7,4823.58,184.21,1401.51,3237.85,276.62,9,27,240.62,276.62,0,0,5,2,2,1,4,1,1,2,4,0,0,0.95,0.05,0.06
"22",99.73,154.49,3789.9,822.46,1122.09,1845.34,1310.3,58.6,552.84,698.85,1310.3,0,0,38,34,3,1,37,9,20,8,37,0,0,0.74,0.26,0.35
"22",117.17,134.89,3749.69,901.07,2848.62,0,1334.5,20.2,378.63,935.67,1334.5,0,0,32,29,3,0,30,5,15,10,30,0,0,0.74,0.26,0.36
"22",1262.2,5.58,5049.2,171.61,999.68,3877.9,50.6,3.2,47.4,0,50.6,0,0,4,2,1,1,3,1,2,0,3,0,0,0.99,0.01,0.01
"22",193.49,43.45,4644.16,332.23,765.86,3546.08,455.64,46.6,338.43,70.61,455.64,0,0,24,21,2,1,23,10,12,1,23,0,0,0.91,0.09,0.1
"22",112.65,59.26,4393.54,706.26,3687.29,0,706.66,93.21,469.04,144.41,706.66,0,0,39,33,6,0,38,17,19,2,38,0,0,0.86,0.14,0.16
"22",181.77,34,4726.37,1073.08,3653.29,0,373.83,53.6,320.23,0,373.83,0,0,26,21,5,0,25,11,14,0,25,0,0,0.93,0.07,0.08
"90",81.26,292.84,3413.27,802.46,2610.8,0,1686.93,47.6,488.64,1150.69,1287.9,399.03,0,42,37,5,0,41,9,18,14,35,6,0,0.67,0.33,0.49
"90",994.28,15.79,4971.79,36.2,0,4935.59,128.41,6.2,55.6,66.61,128.41,0,0,5,3,0,2,4,1,2,1,4,0,0,0.97,0.03,0.03
"90",201.97,79.97,4443.75,169.61,2757.62,1516.52,656.45,41.4,176.01,439.03,656.45,0,0,22,15,6,1,22,9,8,5,22,0,0,0.87,0.13,0.15
