Genotype,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9
23.0,0.03940048813819885,0.015820734202861786,0.0592808723449707,0.0415920689702034,0.020254436880350113,-0.0012664071982726455,0.0021465648896992207,-0.07772164791822433,0.006752265151590109,0.007834162563085556
14.0,0.019689835608005524,-0.006552273873239756,0.0065751452930271626,0.04656814783811569,0.011805219575762749,0.007406578399240971,0.032944925129413605,-0.07251258939504623,0.021414564922451973,0.0298557598143816
73.0,0.013308587484061718,0.00994356069713831,0.016790354624390602,0.06065032258629799,0.021920612081885338,0.013935230672359467,0.017092010006308556,-0.07350020855665207,0.043188441544771194,0.013501225039362907
251.0,0.021164238452911377,0.0013793306425213814,0.06023714318871498,0.02972603403031826,0.01760471612215042,0.013030692003667355,-0.0059313164092600346,-0.06380075216293335,0.03022393397986889,-0.003969243727624416
235.0,0.02592804841697216,0.018489304929971695,0.009815801866352558,0.028766179457306862,0.053402215242385864,0.008314342238008976,-0.0026684508193284273,-0.08548294752836227,0.021707585081458092,-0.006069990340620279
137.0,0.014309299178421497,0.019836286082863808,0.036172207444906235,0.043006207793951035,0.031743768602609634,0.002604059176519513,0.02860071137547493,-0.07017325609922409,0.007469856645911932,0.0007602368132211268
36.0,0.0397971048951149,0.0006714519113302231,0.03385046496987343,0.06520313769578934,0.010126450099050999,0.016296856105327606,0.021711640059947968,-0.07326808571815491,0.014194212853908539,-0.0004790113598573953
192.0,0.020794468000531197,0.0011542780557647347,0.0727287009358406,0.060243889689445496,0.010097005404531956,0.01629497855901718,0.03800287842750549,-0.09027629345655441,0.008462460711598396,0.0062828827649354935
249.0,0.04804554581642151,-0.0003540755424182862,0.03418631851673126,0.03345295414328575,0.01629670523107052,0.027083078399300575,-0.010242353193461895,-0.07335987687110901,0.026582958176732063,-0.0028131676372140646
41.0,0.04157629609107971,-0.010928837582468987,0.032341521233320236,0.04650860279798508,0.008559837006032467,0.009027008898556232,0.004802475683391094,-0.09076333045959473,0.019471243023872375,0.009809375740587711
87.0,0.032906413078308105,-0.002220899099484086,0.02722802758216858,0.05292186513543129,0.0452386848628521,0.013644659891724586,0.026504507288336754,-0.08049438148736954,-0.0006858631386421621,-0.010992544703185558
115.0,0.03411656990647316,0.021124400198459625,0.04834592714905739,0.05583403259515762,0.03419813886284828,0.0139699075371027,0.0021017929539084435,-0.07957562059164047,-0.006237419322133064,0.004536415450274944
