"","repeatability","gen.variance","res.variance","line.repeatability","average.number.of.replicates","lower","upper"
"Dim_0",0.403214858114294,9.36006489516771e-05,0.000138535263374117,FALSE,5.92142526577238,0.353426065307113,0.455855224421538
"Dim_1",0.488727866564896,0.00011203299418925,0.000117200904374162,FALSE,5.92142526577238,0.439478919909717,0.539552699800194
"Dim_2",0.457880389916153,8.77344732575902e-05,0.000103875552394865,FALSE,5.92142526577238,0.408201471776805,0.509598330658603
"Dim_3",0.384614978692454,9.25119234399743e-05,0.000148019331360553,FALSE,5.92142526577238,0.334976179724256,0.437373796329656
"Dim_4",0.416208724621543,8.61822842820183e-05,0.000120882775107074,FALSE,5.92142526577238,0.366371270215872,0.468707119196376
"Dim_5",0.351671239110548,4.12906830650811e-05,7.61220549498732e-05,FALSE,5.92142526577238,0.30252820338849,0.40439258194511
"Dim_6",0.451292195500277,0.000137526061320709,0.00016721233808426,FALSE,5.92142526577238,0.401556080321821,0.5031662859788
"Dim_7",0.0580148249292916,3.09073729820343e-06,5.01842196110075e-05,FALSE,5.92142526577238,0.0256980126904481,0.0956973307453979
"Dim_8",0.500073310850511,0.000131228341007719,0.000131189864804004,FALSE,5.92142526577238,0.451050182121806,0.550502991820356
"Dim_9",0.384957351315031,5.7567086789179e-05,9.19743795382657e-05,FALSE,5.92142526577238,0.33531494046365,0.437714894439988
