"","R^2"
"Dim_0",0.000222223421219679
"Dim_1",0.00137071285199487
"Dim_2",0.000281602085708016
"Dim_3",0.000199624476976003
"Dim_4",0.00256825820594815
"Dim_5",0.000353718557354887
"Dim_6",1.84045679943047e-05
"Dim_7",0.00413628315151656
"Dim_8",0.00113708081417726
"Dim_9",0.00180510478197104
