,Average.halting.duration,Estimated.distance.moved,Estimated.duration.halting,Estimated.duration.halting..duration...180.,Estimated.duration.halting..180....duration...1500.,Estimated.duration.halting..duration....1500.,Estimated.duration.moving,Estimated.duration.moving..duration...10.,Estimated.duration.moving..10....duration...50.,Estimated.duration.moving..duration....50.,Estimated.duration.moving..velocity...0.2.,Estimated.duration.moving..0.2....velocity...0.4.,Estimated.duration.moving..velocity....0.4.,Halt.frequency,Halt.frequency..duration...180.,Halt.frequency..180....duration...1500.,Halt.frequency..duration....1500.,Movement.frequency,Movement.frequency..duration...10.,Movement.frequency..10....duration...50.,Movement.frequency..duration....50.,Movement.frequency..velocity...0.2.,Movement.frequency..0.2....velocity...0.4.,Movement.frequency..velocity....0.4.,Ratio.halting.to.detection.duration,Ratio.movement.to.detection.duration,Ratio.movement.to.halting.duration
Dim_0,-0.027138710323034394,0.07894536622856362,-0.07716935660692913,0.02890120286063128,-0.014834909231529747,-0.03363604636844928,0.0754968632101131,0.03064954848665801,0.05850166556789755,0.06625023110796276,0.05579182861305102,0.060608742521567165,0.03962581745135677,0.030578724502485135,0.030936056453080528,-0.004030085220168831,-0.03831596740232257,0.03302932630054243,0.021842489176698066,0.04637053010466277,0.07104632128310696,0.03441576107835086,0.07159340523306088,0.018407796470596406,-0.07760039500199498,0.07579680059991085,0.05162896667371189
Dim_1,-0.00792222583737399,0.024937683526205224,-0.017304938562633303,0.016500961412080014,-0.018620968826337816,0.0005044933809170121,0.016694188515071415,0.03358130010760206,0.013087369358294595,0.00859120963932899,0.013922984907817564,-0.004936525604126497,0.03947064656972054,0.033701911533036324,0.033525523825501335,-0.00017338337466532507,0.014692506737368667,0.03483817026473981,0.03328603359036091,0.014870338960293737,0.004671252884249232,0.03121196697909632,0.014738774879300847,0.03478984485812299,-0.017375133181034046,0.016631618465816067,0.02237964653809418
Dim_2,-0.007777478082029994,0.006827849824656776,0.008659785428645431,0.002423188642712494,0.02527286575733962,-0.015558244943010306,-0.008343032345265422,-0.022856535283997427,-0.003780085971512221,-0.004412382176768792,-0.012803458381003491,-0.02018890456553517,0.04379621369321801,-0.017084732918567925,-0.01730477052223765,0.011388832843940482,-0.004424912210815084,-0.017453440261294705,-0.017319823873889664,-0.00165191933118634,-0.0060011725084059015,-0.018766833408002226,-0.008145527236392872,-0.013792461397110089,0.008976243709926715,-0.008775243423378038,-0.015926201728277706
Dim_3,-0.012163939590873439,0.0195682219580766,-0.018338207728332886,-0.009456814233525169,-0.016934356197444586,0.007273875885541274,0.013424810855614608,0.015159828607731034,-0.0012729719560215904,0.015846981315487785,-0.0007727498255868228,0.029370370769817855,0.005694603982104749,-0.00435979182851773,-0.004280597682165051,-0.010472168865254258,0.023682419701779353,0.0013294870660076528,0.001703520595944727,-0.00695990343749024,0.010656221757439677,-0.005937780205392715,0.059154796228317263,2.8972872092552876e-05,-0.018057498557402678,0.013103332126427543,0.01693538331247764
Dim_4,0.003226369353706847,0.009401984866757957,-0.0047214561049070064,0.0069403583370694286,0.04107956816130271,-0.03483724528604269,0.004428857379722942,0.008402940339364319,-0.0010821271981943732,0.004822860354531477,0.007867633520349249,-0.01524055281309321,0.02406620029634215,0.01127350973853132,0.010848960298047668,0.029437140994246283,-0.0415887632561768,0.009887796984935878,0.009763973855671206,-0.004807820100184197,0.01678713337675696,0.013023084271836413,-0.013217856036759602,0.007968252855220652,-0.004379095972761908,0.004054864607934048,0.007272428509146763
Dim_5,-0.029290264338663177,0.057212499767584975,-0.055212589134414666,0.03533704888001852,-0.028371824093775765,-0.015711569018482894,0.05648672563578638,0.0265471768694781,0.036198224560158504,0.05280446219678749,0.03931892232119053,0.04764691843298264,0.03309303087911548,0.038256491923301446,0.03906468653831715,-0.02582613699536805,-0.028086261679318898,0.036711934057992786,0.028714690881680938,0.03580544789522738,0.050726205094535924,0.038783000762629666,0.01874182795637569,0.0295527715416441,-0.055358173171783064,0.05643667124613153,0.05012194606594218
Dim_6,-0.005756944081825858,0.0049961277625946935,0.010327935940035676,-0.007523919243675544,0.00728566361698044,0.001772825543810261,-0.011932495860722927,-0.004324537169310368,-0.004099144824022531,-0.013334066299405159,-0.02882678355846459,0.011799830172981573,0.01746488284964988,-0.0015619721607457535,-0.0012168194009452781,-0.014260457828886483,0.002074496253027824,-0.0014462568889786268,0.0007492025130324677,-0.0037008603103574206,-0.023604213706589612,-0.006948964584283893,0.015460323448063591,0.0023576465212637766,0.009689137828990332,-0.011402612150357132,-0.006290827520879653
Dim_7,-0.056757376690117586,0.011352094143919116,-0.02352357397368255,0.024045017360178906,0.02799396522178563,-0.039310871663746125,0.023787572338920374,0.03948382399922696,0.016404422675743772,0.01530489376556144,0.03784390350216571,-0.008658620663466567,0.0004015406223679535,0.04481078233948889,0.04453423929002742,0.025214618601586233,-0.0541406833896003,0.04587531704616427,0.04301610245922541,0.018014326482591193,0.021199739214502963,0.04738195314284285,-0.0037416179403156288,0.042502928118286876,-0.02325410637541515,0.023741102171794173,0.01706748498060348
Dim_8,-0.04021119627595793,0.05055257456754995,-0.047332262712156487,0.022677816394840705,0.02201102830643769,-0.045284375647490306,0.04770001131378683,0.020659942629969008,0.03458207837789194,0.04283978908837497,0.03479747579861016,0.03408297332582396,0.03476437799835348,0.02784196993688115,0.02736198347458041,0.025712334682846703,-0.026836806723788055,0.028437482249524502,0.022820611887695786,0.026056213701134062,0.0348088388842021,0.028196450047396224,0.021704049038903425,0.023825880416179276,-0.047694480967765754,0.04780133751635263,0.03941352754645172
Dim_9,-0.040845861114117483,-0.007723593672927438,0.004605336592903043,0.007867741727755128,-0.0032691072232005733,0.0019462691804200635,-0.005399199366831782,0.08488317895889999,0.005014776427833733,-0.02906712554749697,0.0012626172518648952,-0.016294947164736756,0.0033672568027216182,0.07550417215567279,0.0752286217760441,-0.007388129468419771,0.03992118884768854,0.07759115528805796,0.07907116396794057,0.015741098782732423,-0.02126808823773566,0.07416738001526788,0.0062817759295814265,0.0765819230697651,0.004293036408189675,-0.005520559839013645,0.0204699450018942
