"","lat","long","Countries","Genotype"
"CS76225",49.1833,15.8833,"Czech Republic",351
"CS76231",59,18,NA,337
"CS76242",49.5,14.5,"Czech Republic",338
"CS76251",55.95,13.85,"Sweden",109
"CS28636",48.6103,2.3086,"France",244
"CS28743",52.5339,13.181,"Germany",205
"CS76123",49.4112,16.2815,"Czech Republic",83
"CS76271",54.7,-3.4,"United Kingdom",72
"CS76275",54.4,-3,"United Kingdom",67
"CS76276",54.4,-3,"United Kingdom",68
"CS76277",54.6,-3.1,"United Kingdom",69
"CS28063",49.6803,8.6161,"Germany",131
"CS28394",50.95,6.9666,"Germany",172
"CS28454",50.3833,8.0666,"Germany",176
"CS28580",50.2,8.5833,"Germany",188
"CS28620",51.2878,0.0565,"United Kingdom",237
"CS28622",51.4167,-1.7167,"United Kingdom",238
"CS28640",41.5,2.25,"Spain",194
"CS28650",49.2655,-123.206,"Canada",195
"CS28833",52.3,9.3,"Germany",224
"CS28847",47.3667,8.55,"Switzerland",226
"CS76120",49.4112,16.2815,"Czech Republic",79
"CS76122",49.4112,16.2815,"Czech Republic",82
"CS76182",47.3833,5.31667,"France",16
"CS76258",46.6667,4.11667,"France",30
"CS76205",46.65,-0.25,"France",20
"CS76262",46.6667,4.11667,"France",34
"CS76157",47.7,6.81667,"France",9
"CS76187",43.595,-86.2657,"United States of America",45
"CS76245",55.7683,14.1386,"Sweden",103
"CS76287",51.3,0.4,"United Kingdom",62
"CS76307",49.3853,16.2544,"Czech Republic",112
"CS28053",56.5459,-4.79821,"United Kingdom",132
"CS28090",48,19,"Hungary",135
"CS28407",41.2816,-86.621,"United States of America",118
"CS28628",50.35,-3.5833,"United Kingdom",240
"CS28635",48.6103,2.3086,"France",243
"CS28808",51.9666,5.6666,"Netherlands",218
"CS28849",44.7203,22.3955,"Romania",192
"CS76208",42.148,-86.431,"United States of America",50
"CS76302",54.6833,25.3167,"Lithuania",352
"CS76087",45,1.3,"France",260
"CS76091",51.2167,4.4,"Belgium",262
"CS76099",49.4013,16.2326,"Czech Republic",78
"CS76111",51.4083,-0.6383,"United Kingdom",275
"CS76194",61.36,34.15,"Russia",356
"CS76114",37.3,15,"Italy",277
"CS76125",62.877,18.177,"Sweden",281
"CS76126",56,-3,NA,282
"CS76128",63.0165,18.3174,"Sweden",80
"CS76133",50.3,8,"Germany",286
"CS76139",49,2,"France",291
"CS76144",51.4083,-0.6383,"United Kingdom",294
"CS76150",35,77,"Pakistan",355
"CS76153",44.46,-85.37,"United States of America",298
"CS76154",41.2816,-86.621,"United States of America",299
"CS76172",41.59,2.49,"Spain",304
"CS76176",49.38,16.81,"Czech Republic",306
"CS76177",49.38,16.81,"Czech Republic",307
"CS76179",46,3.3,"France",309
"CS76190",44.15,9.65,"Italy",310
"CS76191",49,9.3,"Germany",311
"CS76192",32.34,22.46,"Libya",312
"CS76193",50.3,8.3,"Germany",313
"CS76197",50,10,"Germany",315
"CS76198",51.4083,-0.6383,"United Kingdom",316
"CS76200",56.14,15.78,NA,257
"CS76203",60.23,6.13,NA,320
"CS76214",43.25,-6,"Spain",325
"CS76215",49.42,16.36,"Czech Republic",326
"CS76216",46,3.3,"France",327
"CS28133",46.0333,7.1167,"Switzerland",139
"CS28626",50.6728,-3.8404,"United Kingdom",239
"CS28631",51.4666,-3.2,"United Kingdom",241
"CS28732",47.6667,9.5,"Germany",206
"CS28750",52.6058,11.8558,"Germany",207
"CS28758",52.08,4.3,"Netherlands",209
"CS28780",34.43,136.31,"Japan",213
"CS28800",52.0333,5.55,"Netherlands",217
"CS76115",45,1.75,"France",7
"CS76261",46.6667,4.11667,"France",33
"CS76266",46.6667,4.11667,"France",38
"CS76188",43.595,-86.2657,"United States of America",46
"CS76095",42.1167,12.4833,"Italy",43
"CS28017",51.2167,4.4,"Belgium",125
"CS28064",52,5.675,"Netherlands",130
"CS28141",51.4083,-0.6383,"United Kingdom",115
"CS28193",49.416,2.823,"France",144
"CS28343",55.675,12.5686,NA,164
"CS28345",54.4175,9.88682,"Germany",167
"CS28364",50.927,11.587,"Germany",169
"CS28490",54.6167,-2.3,"United Kingdom",181
"CS28510",61.36,34.15,"Russia",229
"CS28568",52.24,4.45,"Netherlands",186
"CS28614",51.2878,0.0565,"United Kingdom",236
"CS28685",51.9667,5.56667,"Netherlands",198
"CS28786",56.4278,-5.23439,"United Kingdom",208
"CS28809",51.9666,5.6666,"Netherlands",219
"CS76089",45.2667,1.48333,"France",1
"CS76300",46.65,0.166667,"France",41
"CS76264",46.6667,4.11667,"France",36
"CS76265",46.6667,4.11667,"France",37
"CS76221",45.5333,4.85,"France",23
"CS76180",42.166,-86.412,"United States of America",49
"CS76272",51.3,1.1,"United Kingdom",73
"CS76281",51.3,0.5,"United Kingdom",56
"CS76283",51.3,0.4,"United Kingdom",58
"CS76284",51.3,0.4,"United Kingdom",59
"CS76092",56.3333,15.9667,"Sweden",77
"CS28049",45.9,6.13028,"France",124
"CS28054",51.3333,6.1,"Netherlands",128
"CS28091",54.4,-3.2667,"United Kingdom",133
"CS28142",51.4083,-0.6383,"United Kingdom",116
"CS28158",43.3779,2.54038,"France",141
"CS28241",60.1997,24.5682,"Finland",152
"CS28457",50.3833,8.0666,"Germany",177
"CS28459",50.3833,8.0666,"Germany",178
"CS28513",61.36,34.15,"Russia",230
"CS28550",51.4083,-0.6383,"United Kingdom",119
"CS28663",49.42,16.36,"Czech Republic",120
"CS28692",49.4424,1.09849,"France",199
"CS28759",56.5,14.9,"Sweden",210
"CS28848",44.7203,22.3955,"Romania",191
"CS76090",45.2667,1.48333,"France",2
"CS76267",46.6667,4.11667,"France",39
"CS76151",42.405,-85.398,"United States of America",44
"CS76186",43.5187,-86.1739,"United States of America",48
"CS76274",54.7,-2.9,"United Kingdom",75
"CS76292",50.4,-4.9,"United Kingdom",54
"CS76282",51.3,0.4,"United Kingdom",57
